20200405_170104|Test accuracy: 0.7416879795396419
20200405_190839|Test accuracy: 0.7428571428571429
20200405_203716|Test accuracy: 0.6666666666666666
20200405_211656|Test accuracy: 0.8
20200405_215732|Test accuracy: 0.75
20200405_221736|Test accuracy: 0.7333333333333333
20200405_234956|Test accuracy: 0.9811111111111112
20200406_033844|Test accuracy: 0.6408854166666667
20200406_064945|Test accuracy: 0.6644927536231884
20200406_080715|Test accuracy: 1.0
20200406_104625|Test accuracy: 0.684
20200406_120602|Test accuracy: 0.5923076923076923
20200406_142452|Test accuracy: 0.5384615384615384
20200406_160657|Test accuracy: 0.6384615384615384
20200406_163335|Test accuracy: 0.9771241830065359
20200406_175145|Test accuracy: 0.7608695652173914
20200406_185310|Test accuracy: 0.7410071942446043
20200406_210355|Test accuracy: 0.6690647482014388
20200406_221507|Test accuracy: 0.7482014388489209
20200406_225458|Test accuracy: 0.88
20200407_013535|Test accuracy: 0.9411111111111111
20200407_023017|Test accuracy: 0.9616724738675958
20200408_044538|Test accuracy: 0.6711191803916483
20200408_075140|Test accuracy: 0.7408284023668639
20200408_085533|Test accuracy: 0.7386363636363636
20200408_102321|Test accuracy: 0.7668292682926829
20200408_122243|Test accuracy: 0.6857142857142857
20200408_145015|Test accuracy: 0.8514285714285714
20200409_151730|Test accuracy: 0.8833333333333333
20200410_134603|Test accuracy: 0.7333333333333333
20200410_135313|Test accuracy: 0.9666666666666667
20200410_141112|Test accuracy: 0.638095238095238
20200410_193006|Test accuracy: 0.9351351351351351
20200410_204800|Test accuracy: 0.4805194805194805
20200410_205605|Test accuracy: 0.5625
20200410_221421|Test accuracy: 0.41454545454545455
20200411_000824|Test accuracy: 0.5621212121212121
20200411_000939|Test accuracy: 0.9465500485908649
20200411_020404|Test accuracy: 0.7973333333333333
20200411_020629|Test accuracy: 0.8032786885245902
20200411_021815|Test accuracy: 0.6575342465753424
20200411_022957|Test accuracy: 0.8686567164179104
20200411_023639|Test accuracy: 0.8833333333333333
20200411_041406|Test accuracy: 0.725
20200411_091746|Test accuracy: 0.7835051546391752
20200411_101442|Test accuracy: 0.6168831168831169
20200411_122435|Test accuracy: 0.5584415584415584
20200411_125619|Test accuracy: 0.8043130990415336
20200412_132435|Test accuracy: 0.9170483460559796
20200412_203704|Test accuracy: 0.9134860050890585
20200412_221023|Test accuracy: 0.9
20200413_005823|Test accuracy: 0.6776859504132231
20200413_071007|Test accuracy: 0.7843822843822844
20200413_080329|Test accuracy: 0.20358649789029537
20200413_083102|Test accuracy: 1.0
