20200417_055928|Test accuracy: 0.8591065292096219
20200417_065515|Test accuracy: 0.8585365853658536
20200417_083612|Test accuracy: 0.8146341463414634
20200417_101448|Test accuracy: 0.5546666666666666
20200417_112218|Test accuracy: 0.48533333333333334
20200417_120144|Test accuracy: 0.5222222222222223
20200417_191207|Test accuracy: 0.8166666666666667
20200417_213306|Test accuracy: 0.7093333333333334
20200417_215308|Test accuracy: 0.8519134775374376
20200417_222740|Test accuracy: 0.8982161594963274
20200418_021803|Test accuracy: 0.9655172413793104
20200418_042610|Test accuracy: 0.9324324324324325
20200418_065742|Test accuracy: 0.9024
20200418_075709|Test accuracy: 0.9185929648241206
20200418_083540|Test accuracy: 0.9833333333333333
20200418_112135|Test accuracy: 0.8070175438596491
20200418_132331|Test accuracy: 0.7769230769230769
20200418_133720|Test accuracy: 1.0
20200418_141029|Test accuracy: 0.9920983318700615
20200418_173649|Test accuracy: 0.99975
20200418_212625|Test accuracy: 0.7629815745393634
20200419_020544|Test accuracy: 0.6781127861529872
20200419_052012|Test accuracy: 0.7037967615857063
20200419_090535|Test accuracy: 0.8855388051367951
20200419_131925|Test accuracy: 0.996268656716418
20200419_132114|Test accuracy: 0.7037037037037037
20200419_144744|Test accuracy: 0.6159874608150471
20200419_152640|Test accuracy: 0.6103896103896104
20200419_154445|Test accuracy: 0.5714285714285714
20200419_175207|Test accuracy: 0.7966666666666666
20200419_181533|Test accuracy: 0.72
20200419_195531|Test accuracy: 0.9533333333333334
20200419_200108|Test accuracy: 0.9125364431486881
20200420_031806|Test accuracy: 0.7161309523809524
20200420_042455|Test accuracy: 0.5220994475138122
20200420_060911|Test accuracy: 0.36464088397790057
20200420_075822|Test accuracy: 0.542
20200420_080900|Test accuracy: 0.9901754385964913
20200420_092125|Test accuracy: 0.9824561403508771
20200420_095700|Test accuracy: 0.8494623655913979
20200420_102634|Test accuracy: 0.9873417721518988
20200420_105508|Test accuracy: 1.0
20200420_111729|Test accuracy: 1.0
20200420_140459|Test accuracy: 0.8067226890756303
20200420_141240|Test accuracy: 1.0
20200420_144153|Test accuracy: 1.0
20200420_173133|Test accuracy: 0.8898969072164948
20200420_180744|Test accuracy: 0.8408247422680413
20200421_114132|Test accuracy: 0.36538461538461536
20200422_034647|Test accuracy: 0.7211538461538461
20200422_212441|Test accuracy: 0.5096153846153846
20200422_223726|Test accuracy: 0.9111111111111111
20200422_231235|Test accuracy: 0.62
20200423_003236|Test accuracy: 0.8066666666666666
20200423_021049|Test accuracy: 0.5644444444444444
20200423_042933|Test accuracy: 0.7022222222222222
20200423_043337|Test accuracy: 0.92
20200423_064453|Test accuracy: 0.9930555555555556
